uncertainty,seed,P,T_star,human_baseline,deadline,beats_human,meets_deadline,solver_status
0.30,22,6,33.65,76,40,true,true,OPTIMAL
0.30,22,8,33.65,76,40,true,true,OPTIMAL
0.30,23,1,50.25,76,40,true,false,OPTIMAL
0.30,23,2,36.85,76,40,true,true,OPTIMAL
0.30,23,3,36.85,76,40,true,true,OPTIMAL
0.30,23,4,36.85,76,40,true,true,OPTIMAL
0.30,23,6,36.85,76,40,true,true,OPTIMAL
0.30,23,8,36.85,76,40,true,true,OPTIMAL
0.30,24,1,51.50,76,40,true,false,OPTIMAL
0.30,24,2,34.30,76,40,true,true,OPTIMAL
0.30,24,3,34.30,76,40,true,true,OPTIMAL
0.30,24,4,34.30,76,40,true,true,OPTIMAL
0.30,24,6,34.30,76,40,true,true,OPTIMAL
0.30,24,8,34.30,76,40,true,true,OPTIMAL
0.30,25,1,53.10,76,40,true,false,OPTIMAL
0.30,25,2,38.00,76,40,true,true,OPTIMAL
0.30,25,3,38.00,76,40,true,true,OPTIMAL
0.30,25,4,38.00,76,40,true,true,OPTIMAL
0.30,25,6,38.00,76,40,true,true,OPTIMAL
0.30,25,8,38.00,76,40,true,true,OPTIMAL
0.30,26,1,52.60,76,40,true,false,OPTIMAL
0.30,26,2,33.80,76,40,true,true,OPTIMAL
0.30,26,3,33.80,76,40,true,true,OPTIMAL
0.30,26,4,33.80,76,40,true,true,OPTIMAL
0.30,26,6,33.80,76,40,true,true,OPTIMAL
0.30,26,8,33.80,76,40,true,true,OPTIMAL
0.30,27,1,52.15,76,40,true,false,OPTIMAL
0.30,27,2,34.90,76,40,true,true,OPTIMAL
0.30,27,3,34.90,76,40,true,true,OPTIMAL
0.30,27,4,34.90,76,40,true,true,OPTIMAL
0.30,27,6,34.90,76,40,true,true,OPTIMAL
0.30,27,8,34.90,76,40,true,true,OPTIMAL
0.30,28,1,45.05,76,40,true,false,OPTIMAL
0.30,28,2,30.95,76,40,true,true,OPTIMAL
0.30,28,3,30.95,76,40,true,true,OPTIMAL
0.30,28,4,30.95,76,40,true,true,OPTIMAL
0.30,28,6,30.95,76,40,true,true,OPTIMAL
0.30,28,8,30.95,76,40,true,true,OPTIMAL
0.30,29,1,52.50,76,40,true,false,OPTIMAL
0.30,29,2,36.60,76,40,true,true,OPTIMAL
0.30,29,3,36.60,76,40,true,true,OPTIMAL
0.30,29,4,36.60,76,40,true,true,OPTIMAL
0.30,29,6,36.60,76,40,true,true,OPTIMAL
0.30,29,8,36.60,76,40,true,true,OPTIMAL
0.30,30,1,49.70,76,40,true,false,OPTIMAL
0.30,30,2,31.70,76,40,true,true,OPTIMAL
0.30,30,3,31.70,76,40,true,true,OPTIMAL
0.30,30,4,31.70,76,40,true,true,OPTIMAL
0.30,30,6,31.70,76,40,true,true,OPTIMAL
0.30,30,8,31.70,76,40,true,true,OPTIMAL
0.30,31,1,46.80,76,40,true,false,OPTIMAL
0.30,31,2,30.70,76,40,true,true,OPTIMAL
0.30,31,3,30.70,76,40,true,true,OPTIMAL
0.30,31,4,30.70,76,40,true,true,OPTIMAL
0.30,31,6,30.70,76,40,true,true,OPTIMAL
0.30,31,8,30.70,76,40,true,true,OPTIMAL
0.30,32,1,50.45,76,40,true,false,OPTIMAL
0.30,32,2,33.15,76,40,true,true,OPTIMAL
0.30,32,3,33.15,76,40,true,true,OPTIMAL
0.30,32,4,33.15,76,40,true,true,OPTIMAL
0.30,32,6,33.15,76,40,true,true,OPTIMAL
0.30,32,8,33.15,76,40,true,true,OPTIMAL
0.30,33,1,56.40,76,40,true,false,OPTIMAL
0.30,33,2,39.10,76,40,true,true,OPTIMAL
0.30,33,3,39.10,76,40,true,true,OPTIMAL
0.30,33,4,39.10,76,40,true,true,OPTIMAL
0.30,33,6,39.10,76,40,true,true,OPTIMAL
0.30,33,8,39.10,76,40,true,true,OPTIMAL
0.30,34,1,55.30,76,40,true,false,OPTIMAL
0.30,34,2,40.50,76,40,true,false,OPTIMAL
0.30,34,3,40.50,76,40,true,false,OPTIMAL
0.30,34,4,40.50,76,40,true,false,OPTIMAL
0.30,34,6,40.50,76,40,true,false,OPTIMAL
0.30,34,8,40.50,76,40,true,false,OPTIMAL
0.30,35,1,55.40,76,40,true,false,OPTIMAL
0.30,35,2,38.20,76,40,true,true,OPTIMAL
0.30,35,3,38.20,76,40,true,true,OPTIMAL
0.30,35,4,38.20,76,40,true,true,OPTIMAL
0.30,35,6,38.20,76,40,true,true,OPTIMAL
0.30,35,8,38.20,76,40,true,true,OPTIMAL
0.30,36,1,56.10,76,40,true,false,OPTIMAL
0.30,36,2,39.40,76,40,true,true,OPTIMAL
0.30,36,3,39.40,76,40,true,true,OPTIMAL
0.30,36,4,39.40,76,40,true,true,OPTIMAL
0.30,36,6,39.40,76,40,true,true,OPTIMAL
0.30,36,8,39.40,76,40,true,true,OPTIMAL
0.30,37,1,53.95,76,40,true,false,OPTIMAL
0.30,37,2,38.20,76,40,true,true,OPTIMAL
0.30,37,3,38.20,76,40,true,true,OPTIMAL
0.30,37,4,38.20,76,40,true,true,OPTIMAL
0.30,37,6,38.20,76,40,true,true,OPTIMAL
0.30,37,8,38.20,76,40,true,true,OPTIMAL
0.30,38,1,52.40,76,40,true,false,OPTIMAL
0.30,38,2,36.30,76,40,true,true,OPTIMAL
0.30,38,3,36.30,76,40,true,true,OPTIMAL
0.30,38,4,36.30,76,40,true,true,OPTIMAL
0.30,38,6,36.30,76,40,true,true,OPTIMAL
0.30,38,8,36.30,76,40,true,true,OPTIMAL
0.30,39,1,47.30,76,40,true,false,OPTIMAL
0.30,39,2,32.65,76,40,true,true,OPTIMAL
0.30,39,3,32.65,76,40,true,true,OPTIMAL
0.30,39,4,32.65,76,40,true,true,OPTIMAL
0.30,39,6,32.65,76,40,true,true,OPTIMAL
0.30,39,8,32.65,76,40,true,true,OPTIMAL
0.30,40,1,51.35,76,40,true,false,OPTIMAL
0.30,40,2,35.40,76,40,true,true,OPTIMAL
0.30,40,3,35.40,76,40,true,true,OPTIMAL
0.30,40,4,35.40,76,40,true,true,OPTIMAL
0.30,40,6,35.40,76,40,true,true,OPTIMAL
0.30,40,8,35.40,76,40,true,true,OPTIMAL
0.30,41,1,53.50,76,40,true,false,OPTIMAL
0.30,41,2,35.45,76,40,true,true,OPTIMAL
0.30,41,3,35.45,76,40,true,true,OPTIMAL
0.30,41,4,35.45,76,40,true,true,OPTIMAL
0.30,41,6,35.45,76,40,true,true,OPTIMAL
0.30,41,8,35.45,76,40,true,true,OPTIMAL
0.30,42,1,49.70,76,40,true,false,OPTIMAL
0.30,42,2,36.10,76,40,true,true,OPTIMAL
0.30,42,3,36.10,76,40,true,true,OPTIMAL
0.30,42,4,36.10,76,40,true,true,OPTIMAL
0.30,42,6,36.10,76,40,true,true,OPTIMAL
0.30,42,8,36.10,76,40,true,true,OPTIMAL
0.30,43,1,51.10,76,40,true,false,OPTIMAL
0.30,43,2,35.15,76,40,true,true,OPTIMAL
0.30,43,3,35.15,76,40,true,true,OPTIMAL
0.30,43,4,35.15,76,40,true,true,OPTIMAL
0.30,43,6,35.15,76,40,true,true,OPTIMAL
0.30,43,8,35.15,76,40,true,true,OPTIMAL
0.30,44,1,48.05,76,40,true,false,OPTIMAL
0.30,44,2,31.35,76,40,true,true,OPTIMAL
0.30,44,3,31.35,76,40,true,true,OPTIMAL
0.30,44,4,31.35,76,40,true,true,OPTIMAL
0.30,44,6,31.35,76,40,true,true,OPTIMAL
0.30,44,8,31.35,76,40,true,true,OPTIMAL
0.30,45,1,43.95,76,40,true,false,OPTIMAL
0.30,45,2,28.80,76,40,true,true,OPTIMAL
0.30,45,3,28.80,76,40,true,true,OPTIMAL
0.30,45,4,28.80,76,40,true,true,OPTIMAL
0.30,45,6,28.80,76,40,true,true,OPTIMAL
0.30,45,8,28.80,76,40,true,true,OPTIMAL
0.30,46,1,52.35,76,40,true,false,OPTIMAL
0.30,46,2,36.80,76,40,true,true,OPTIMAL
0.30,46,3,36.80,76,40,true,true,OPTIMAL
0.30,46,4,36.80,76,40,true,true,OPTIMAL
0.30,46,6,36.80,76,40,true,true,OPTIMAL
0.30,46,8,36.80,76,40,true,true,OPTIMAL
0.30,47,1,47.90,76,40,true,false,OPTIMAL
0.30,47,2,32.45,76,40,true,true,OPTIMAL
0.30,47,3,32.45,76,40,true,true,OPTIMAL
0.30,47,4,32.45,76,40,true,true,OPTIMAL
0.30,47,6,32.45,76,40,true,true,OPTIMAL
0.30,47,8,32.45,76,40,true,true,OPTIMAL
0.30,48,1,53.60,76,40,true,false,OPTIMAL
0.30,48,2,37.45,76,40,true,true,OPTIMAL
0.30,48,3,37.45,76,40,true,true,OPTIMAL
0.30,48,4,37.45,76,40,true,true,OPTIMAL
0.30,48,6,37.45,76,40,true,true,OPTIMAL
0.30,48,8,37.45,76,40,true,true,OPTIMAL
0.30,49,1,49.05,76,40,true,false,OPTIMAL
0.30,49,2,31.90,76,40,true,true,OPTIMAL
0.30,49,3,31.90,76,40,true,true,OPTIMAL
0.30,49,4,31.90,76,40,true,true,OPTIMAL
0.30,49,6,31.90,76,40,true,true,OPTIMAL
0.30,49,8,31.90,76,40,true,true,OPTIMAL
0.30,50,1,51.40,76,40,true,false,OPTIMAL
0.30,50,2,34.50,76,40,true,true,OPTIMAL
0.30,50,3,34.50,76,40,true,true,OPTIMAL
0.30,50,4,34.50,76,40,true,true,OPTIMAL
0.30,50,6,34.50,76,40,true,true,OPTIMAL
0.30,50,8,34.50,76,40,true,true,OPTIMAL
0.30,51,1,52.20,76,40,true,false,OPTIMAL
0.30,51,2,34.65,76,40,true,true,OPTIMAL
0.30,51,3,34.65,76,40,true,true,OPTIMAL
0.30,51,4,34.65,76,40,true,true,OPTIMAL
0.30,51,6,34.65,76,40,true,true,OPTIMAL
0.30,51,8,34.65,76,40,true,true,OPTIMAL
0.30,52,1,55.45,76,40,true,false,OPTIMAL
0.30,52,2,39.65,76,40,true,true,OPTIMAL
0.30,52,3,39.65,76,40,true,true,OPTIMAL
0.30,52,4,39.65,76,40,true,true,OPTIMAL
0.30,52,6,39.65,76,40,true,true,OPTIMAL
0.30,52,8,39.65,76,40,true,true,OPTIMAL
0.30,53,1,56.60,76,40,true,false,OPTIMAL
0.30,53,2,40.00,76,40,true,true,OPTIMAL
0.30,53,3,40.00,76,40,true,true,OPTIMAL
0.30,53,4,40.00,76,40,true,true,OPTIMAL
0.30,53,6,40.00,76,40,true,true,OPTIMAL
0.30,53,8,40.00,76,40,true,true,OPTIMAL
0.30,54,1,55.90,76,40,true,false,OPTIMAL
0.30,54,2,38.20,76,40,true,true,OPTIMAL
0.30,54,3,38.20,76,40,true,true,OPTIMAL
0.30,54,4,38.20,76,40,true,true,OPTIMAL
0.30,54,6,38.20,76,40,true,true,OPTIMAL
0.30,54,8,38.20,76,40,true,true,OPTIMAL
0.30,55,1,53.05,76,40,true,false,OPTIMAL
0.30,55,2,35.90,76,40,true,true,OPTIMAL
0.30,55,3,35.90,76,40,true,true,OPTIMAL
0.30,55,4,35.90,76,40,true,true,OPTIMAL
0.30,55,6,35.90,76,40,true,true,OPTIMAL
0.30,55,8,35.90,76,40,true,true,OPTIMAL
0.30,56,1,54.25,76,40,true,false,OPTIMAL
0.30,56,2,38.05,76,40,true,true,OPTIMAL
0.30,56,3,38.05,76,40,true,true,OPTIMAL
0.30,56,4,38.05,76,40,true,true,OPTIMAL
