experiment_id,scenario_id,schedule_kind,start,end,duration,active_agent_phases,active_human_phases,human_queue_length,occupied_agent_slots,free_agent_slots,full_agent_stop
EXP-06A,exp06a_practical_variant_3_k100,baseline,12.1,12.5,0.4,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,12.5,14.0,1.5,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,14.0,16.0,2.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,16.0,16.1,0.1,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,16.1,17.1,1.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,17.1,24.8,7.7,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,24.8,26.8,2.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,26.8,28.3,1.5,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,28.3,34.3,6.0,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,34.3,35.8,1.5,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,35.8,37.3,1.5,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,37.3,42.1,4.8,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,42.1,43.6,1.5,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,0,1.00,1.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,1.00,4.20,3.20,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,4.20,5.20,1.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,5.20,6.70,1.50,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,6.70,7.70,1.00,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,exact,7.70,10.50,2.80,2,0,0,2,2,false
