experiment_id,stream,namespace,dag_id,cell_id,task_count,topology_family,weight_type,target_rho_l_bin,observation_index,attempt,raw_seed,accepted,reason,rho_l,longest_path_count,rho_h_low,rho_h_high
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_12,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,12,1,9295753274870092427,true,accepted_all_structural_and_allocator_checks,0.2941176470588235294117647059,1,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_13,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,13,0,7897138240907146445,false,rho_l_outside_target_bin,0.3333333333333333333333333333,5,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_13,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,13,1,12568988606231186469,false,rho_l_outside_target_bin,0.4210526315789473684210526316,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_13,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,13,2,1560838698252898166,true,accepted_all_structural_and_allocator_checks,0.2692307692307692307692307692,2,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_14,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,14,0,8019042873759241204,false,rho_l_outside_target_bin,0.4,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_14,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,14,1,787472302081925479,false,rho_l_outside_target_bin,0.3333333333333333333333333333,2,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_14,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,14,2,10504403653257664962,false,rho_l_outside_target_bin,0.3125,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_14,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,14,3,8428770903975633179,false,rho_l_outside_target_bin,0.3684210526315789473684210526,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_14,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,14,4,4369531351658899549,true,accepted_all_structural_and_allocator_checks,0.2692307692307692307692307692,2,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_15,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,15,0,9000565442167585207,false,rho_l_outside_target_bin,0.3888888888888888888888888889,2,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_15,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,15,1,4132427938534716318,false,rho_l_outside_target_bin,0.3125,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_15,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,15,2,3583064187771363351,false,rho_l_outside_target_bin,0.3571428571428571428571428571,4,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_15,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,15,3,3305044066366173724,true,accepted_all_structural_and_allocator_checks,0.2777777777777777777777777778,2,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_16,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,16,0,1528717721439182218,true,accepted_all_structural_and_allocator_checks,0.25,4,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_17,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,17,0,1031871281953539277,false,rho_l_outside_target_bin,0.3333333333333333333333333333,2,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_17,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,17,1,8348721775567969706,true,accepted_all_structural_and_allocator_checks,0.2631578947368421052631578947,3,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_18,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,18,0,775750491452310248,false,rho_l_outside_target_bin,0.3076923076923076923076923077,4,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_18,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,18,1,4624786664369924431,false,rho_l_outside_target_bin,0.3529411764705882352941176471,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_18,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,18,2,9296540370540686912,true,accepted_all_structural_and_allocator_checks,0.2857142857142857142857142857,2,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_19,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,19,0,3200970031209663682,false,rho_l_outside_target_bin,0.3636363636363636363636363636,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_19,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,19,1,15666120724402929015,true,accepted_all_structural_and_allocator_checks,0.2941176470588235294117647059,3,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_00,n8_mixed_homogeneous,8,mixed,homogeneous,medium,0,0,8293231574717321094,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_01,n8_mixed_homogeneous,8,mixed,homogeneous,medium,1,0,2069333149084399555,true,accepted_all_structural_and_allocator_checks,0.5,6,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_02,n8_mixed_homogeneous,8,mixed,homogeneous,medium,2,0,7900626946586442388,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_03,n8_mixed_homogeneous,8,mixed,homogeneous,medium,3,0,14130658683596689060,true,accepted_all_structural_and_allocator_checks,0.5,6,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_04,n8_mixed_homogeneous,8,mixed,homogeneous,medium,4,0,6390433597778408787,true,accepted_all_structural_and_allocator_checks,0.5,4,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_05,n8_mixed_homogeneous,8,mixed,homogeneous,medium,5,0,16856009884717984441,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_06,n8_mixed_homogeneous,8,mixed,homogeneous,medium,6,0,4473297931562302270,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_07,n8_mixed_homogeneous,8,mixed,homogeneous,medium,7,0,2581317779222536099,true,accepted_all_structural_and_allocator_checks,0.5,6,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_08,n8_mixed_homogeneous,8,mixed,homogeneous,medium,8,0,11824121359734586891,true,accepted_all_structural_and_allocator_checks,0.5,3,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_09,n8_mixed_homogeneous,8,mixed,homogeneous,medium,9,0,7327028327812660754,true,accepted_all_structural_and_allocator_checks,0.5,4,0.3,0.7
