dag_id,allocation,total_human_share,target_concentration,actual_concentration,concentration_error,minimum_task_human_share,maximum_task_human_share,total_h_preserved,bounds_hold
exp08_development_n8_chain_like_homogeneous_09,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n8_chain_like_homogeneous_09,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n8_chain_like_lognormal_00,low,0.120,0.30,0.3,0.00,0.04679166666666666666666666667,0.364,true,true
exp08_development_n8_chain_like_lognormal_00,high,0.120,0.70,0.7,0.00,0.1091666666666666666666666667,0.156,true,true
exp08_development_n8_chain_like_lognormal_01,low,0.120,0.30,0.3,0.00,0.04319444444444444444444444444,0.504,true,true
exp08_development_n8_chain_like_lognormal_01,high,0.120,0.70,0.7,0.00,0.1007916666666666666666666667,0.216,true,true
exp08_development_n8_chain_like_lognormal_02,low,0.120,0.30,0.3,0.00,0.04366666666666666666666666667,0.476,true,true
exp08_development_n8_chain_like_lognormal_02,high,0.120,0.70,0.7,0.00,0.102,0.204,true,true
exp08_development_n8_chain_like_lognormal_03,low,0.120,0.30,0.3,0.00,0.04725,0.3528333333333333333333333333,true,true
exp08_development_n8_chain_like_lognormal_03,high,0.120,0.70,0.7,0.00,0.11025,0.1512083333333333333333333333,true,true
exp08_development_n8_chain_like_lognormal_04,low,0.120,0.30,0.3,0.00,0.045,0.420,true,true
exp08_development_n8_chain_like_lognormal_04,high,0.120,0.70,0.7,0.00,0.105,0.180,true,true
exp08_development_n8_chain_like_lognormal_05,low,0.120,0.30,0.3,0.00,0.04113333333333333333333333333,0.672,true,true
exp08_development_n8_chain_like_lognormal_05,high,0.120,0.70,0.7,0.00,0.096,0.288,true,true
exp08_development_n8_chain_like_lognormal_06,low,0.120,0.30,0.3,0.00,0.04022222222222222222222222222,0.798,true,true
exp08_development_n8_chain_like_lognormal_06,high,0.120,0.70,0.7,0.00,0.093875,0.342,true,true
exp08_development_n8_chain_like_lognormal_07,low,0.120,0.30,0.3,0.00,0.04983333333333333333333333333,0.3024166666666666666666666667,true,true
exp08_development_n8_chain_like_lognormal_07,high,0.120,0.70,0.7,0.00,0.1162916666666666666666666667,0.1296111111111111111111111111,true,true
exp08_development_n8_chain_like_lognormal_08,low,0.120,0.30,0.3,0.00,0.05141666666666666666666666667,0.280,true,true
exp08_development_n8_chain_like_lognormal_08,high,0.120,0.70,0.7,0.00,0.120,0.120,true,true
exp08_development_n8_chain_like_lognormal_09,low,0.120,0.30,0.3,0.00,0.044,0.462,true,true
exp08_development_n8_chain_like_lognormal_09,high,0.120,0.70,0.7,0.00,0.1026666666666666666666666667,0.198,true,true
exp08_development_n16_wide_layered_homogeneous_00,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n16_wide_layered_homogeneous_00,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
exp08_development_n16_wide_layered_homogeneous_01,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n16_wide_layered_homogeneous_01,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
exp08_development_n16_wide_layered_homogeneous_02,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n16_wide_layered_homogeneous_02,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
exp08_development_n16_wide_layered_homogeneous_03,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n16_wide_layered_homogeneous_03,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
exp08_development_n16_wide_layered_homogeneous_04,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n16_wide_layered_homogeneous_04,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
exp08_development_n16_wide_layered_homogeneous_05,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n16_wide_layered_homogeneous_05,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
exp08_development_n16_wide_layered_homogeneous_06,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n16_wide_layered_homogeneous_06,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
exp08_development_n16_wide_layered_homogeneous_07,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n16_wide_layered_homogeneous_07,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
exp08_development_n16_wide_layered_homogeneous_08,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n16_wide_layered_homogeneous_08,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
exp08_development_n16_wide_layered_homogeneous_09,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n16_wide_layered_homogeneous_09,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
exp08_development_n16_wide_layered_lognormal_00,low,0.120,0.30,0.3,0.00,0.1129166666666666666666666667,0.1404166666666666666666666667,true,true
exp08_development_n16_wide_layered_lognormal_00,high,0.120,0.70,0.7,0.00,0.04839583333333333333333333333,0.327625,true,true
exp08_development_n16_wide_layered_lognormal_01,low,0.120,0.30,0.3,0.00,0.1195,0.1211,true,true
exp08_development_n16_wide_layered_lognormal_01,high,0.120,0.70,0.7,0.00,0.05120833333333333333333333333,0.28255,true,true
exp08_development_n16_wide_layered_lognormal_02,low,0.120,0.30,0.3,0.00,0.1168333333333333333333333333,0.128,true,true
exp08_development_n16_wide_layered_lognormal_02,high,0.120,0.70,0.7,0.00,0.05008333333333333333333333333,0.2986666666666666666666666667,true,true
exp08_development_n16_wide_layered_lognormal_03,low,0.120,0.30,0.3,0.00,0.1181666666666666666666666667,0.124375,true,true
exp08_development_n16_wide_layered_lognormal_03,high,0.120,0.70,0.7,0.00,0.05066666666666666666666666667,0.2901944444444444444444444444,true,true
exp08_development_n16_wide_layered_lognormal_04,low,0.120,0.30,0.3,0.00,0.1066666666666666666666666667,0.16925,true,true
exp08_development_n16_wide_layered_lognormal_04,high,0.120,0.70,0.7,0.00,0.04570833333333333333333333333,0.3948055555555555555555555556,true,true
exp08_development_n16_wide_layered_lognormal_05,low,0.120,0.30,0.3,0.00,0.1131666666666666666666666667,0.1395,true,true
exp08_development_n16_wide_layered_lognormal_05,high,0.120,0.70,0.7,0.00,0.0485,0.3255,true,true
exp08_development_n16_wide_layered_lognormal_06,low,0.120,0.30,0.3,0.00,0.1071666666666666666666666667,0.1665,true,true
exp08_development_n16_wide_layered_lognormal_06,high,0.120,0.70,0.7,0.00,0.04591666666666666666666666667,0.3885,true,true
exp08_development_n16_wide_layered_lognormal_07,low,0.120,0.30,0.3,0.00,0.1091666666666666666666666667,0.156,true,true
exp08_development_n16_wide_layered_lognormal_07,high,0.120,0.70,0.7,0.00,0.04675,0.364,true,true
exp08_development_n16_wide_layered_lognormal_08,low,0.120,0.30,0.3,0.00,0.1155,0.132,true,true
exp08_development_n16_wide_layered_lognormal_08,high,0.120,0.70,0.7,0.00,0.0495,0.308,true,true
exp08_development_n16_wide_layered_lognormal_09,low,0.120,0.30,0.3,0.00,0.1175833333333333333333333333,0.126,true,true
exp08_development_n16_wide_layered_lognormal_09,high,0.120,0.70,0.7,0.00,0.050375,0.294,true,true
exp08_development_n16_mixed_homogeneous_00,low,0.120,0.30,0.3,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n16_mixed_homogeneous_00,high,0.120,0.70,0.7,0.00,0.064,0.192,true,true
exp08_development_n16_mixed_homogeneous_01,low,0.120,0.30,0.3,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n16_mixed_homogeneous_01,high,0.120,0.70,0.7,0.00,0.064,0.192,true,true
exp08_development_n16_mixed_homogeneous_02,low,0.120,0.30,0.3,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n16_mixed_homogeneous_02,high,0.120,0.70,0.7,0.00,0.064,0.192,true,true
exp08_development_n16_mixed_homogeneous_03,low,0.120,0.30,0.3,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n16_mixed_homogeneous_03,high,0.120,0.70,0.7,0.00,0.064,0.192,true,true
exp08_development_n16_mixed_homogeneous_04,low,0.120,0.30,0.3,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n16_mixed_homogeneous_04,high,0.120,0.70,0.7,0.00,0.064,0.192,true,true
exp08_development_n16_mixed_homogeneous_05,low,0.120,0.30,0.3,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n16_mixed_homogeneous_05,high,0.120,0.70,0.7,0.00,0.064,0.192,true,true
exp08_development_n16_mixed_homogeneous_06,low,0.120,0.30,0.3,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n16_mixed_homogeneous_06,high,0.120,0.70,0.7,0.00,0.064,0.192,true,true
exp08_development_n16_mixed_homogeneous_07,low,0.120,0.30,0.3,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n16_mixed_homogeneous_07,high,0.120,0.70,0.7,0.00,0.064,0.192,true,true
exp08_development_n16_mixed_homogeneous_08,low,0.120,0.30,0.3,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n16_mixed_homogeneous_08,high,0.120,0.70,0.7,0.00,0.064,0.192,true,true
exp08_development_n16_mixed_homogeneous_09,low,0.120,0.30,0.3,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n16_mixed_homogeneous_09,high,0.120,0.70,0.7,0.00,0.064,0.192,true,true
exp08_development_n16_mixed_lognormal_00,low,0.120,0.30,0.3,0.00,0.06441666666666666666666666667,0.1904166666666666666666666667,true,true
exp08_development_n16_mixed_lognormal_00,high,0.120,0.70,0.7,0.00,0.08158333333333333333333333333,0.1503333333333333333333333333,true,true
exp08_development_n16_mixed_lognormal_01,low,0.120,0.30,0.3,0.00,0.06816666666666666666666666667,0.1779166666666666666666666667,true,true
exp08_development_n16_mixed_lognormal_01,high,0.120,0.70,0.7,0.00,0.07620833333333333333333333333,0.1591666666666666666666666667,true,true
exp08_development_n16_mixed_lognormal_02,low,0.120,0.30,0.3,0.00,0.06816666666666666666666666667,0.1779166666666666666666666667,true,true
exp08_development_n16_mixed_lognormal_02,high,0.120,0.70,0.7,0.00,0.07620833333333333333333333333,0.1591666666666666666666666667,true,true
exp08_development_n16_mixed_lognormal_03,low,0.120,0.30,0.3,0.00,0.064,0.192,true,true
exp08_development_n16_mixed_lognormal_03,high,0.120,0.70,0.7,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n16_mixed_lognormal_04,low,0.120,0.30,0.3,0.00,0.074,0.1635833333333333333333333333,true,true
exp08_development_n16_mixed_lognormal_04,high,0.120,0.70,0.7,0.00,0.07008333333333333333333333333,0.1726666666666666666666666667,true,true
exp08_development_n16_mixed_lognormal_05,low,0.120,0.30,0.3,0.00,0.076,0.1596111111111111111111111111,true,true
exp08_development_n16_mixed_lognormal_05,high,0.120,0.70,0.7,0.00,0.06838888888888888888888888889,0.1773333333333333333333333333,true,true
exp08_development_n16_mixed_lognormal_06,low,0.120,0.30,0.3,0.00,0.07713888888888888888888888889,0.1575,true,true
exp08_development_n16_mixed_lognormal_06,high,0.120,0.70,0.7,0.00,0.0675,0.180,true,true
exp08_development_n16_mixed_lognormal_07,low,0.120,0.30,0.3,0.00,0.072,0.168,true,true
exp08_development_n16_mixed_lognormal_07,high,0.120,0.70,0.7,0.00,0.072,0.168,true,true
exp08_development_n16_mixed_lognormal_08,low,0.120,0.30,0.3,0.00,0.0675,0.180,true,true
exp08_development_n16_mixed_lognormal_08,high,0.120,0.70,0.7,0.00,0.077125,0.1575,true,true
exp08_development_n16_mixed_lognormal_09,low,0.120,0.30,0.3,0.00,0.06525,0.1874166666666666666666666667,true,true
exp08_development_n16_mixed_lognormal_09,high,0.120,0.70,0.7,0.00,0.08025,0.15225,true,true
exp08_development_n16_chain_like_homogeneous_00,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n16_chain_like_homogeneous_00,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n16_chain_like_homogeneous_01,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n16_chain_like_homogeneous_01,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n16_chain_like_homogeneous_02,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n16_chain_like_homogeneous_02,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n16_chain_like_homogeneous_03,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n16_chain_like_homogeneous_03,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n16_chain_like_homogeneous_04,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n16_chain_like_homogeneous_04,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n16_chain_like_homogeneous_05,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n16_chain_like_homogeneous_05,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n16_chain_like_homogeneous_06,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n16_chain_like_homogeneous_06,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n16_chain_like_homogeneous_07,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n16_chain_like_homogeneous_07,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n16_chain_like_homogeneous_08,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n16_chain_like_homogeneous_08,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n16_chain_like_homogeneous_09,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n16_chain_like_homogeneous_09,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n16_chain_like_lognormal_00,low,0.120,0.30,0.3,0.00,0.0425,0.546,true,true
exp08_development_n16_chain_like_lognormal_00,high,0.120,0.70,0.7,0.00,0.09925,0.234,true,true
exp08_development_n16_chain_like_lognormal_01,low,0.120,0.30,0.3,0.00,0.04158333333333333333333333333,0.621625,true,true
exp08_development_n16_chain_like_lognormal_01,high,0.120,0.70,0.7,0.00,0.09711111111111111111111111111,0.2664166666666666666666666667,true,true
exp08_development_n16_chain_like_lognormal_02,low,0.120,0.30,0.3,0.00,0.04658333333333333333333333333,0.369625,true,true
exp08_development_n16_chain_like_lognormal_02,high,0.120,0.70,0.7,0.00,0.1086666666666666666666666667,0.1584166666666666666666666667,true,true
exp08_development_n16_chain_like_lognormal_03,low,0.120,0.30,0.3,0.00,0.04179166666666666666666666667,0.6048333333333333333333333333,true,true
exp08_development_n16_chain_like_lognormal_03,high,0.120,0.70,0.7,0.00,0.09754166666666666666666666667,0.25925,true,true
exp08_development_n16_chain_like_lognormal_04,low,0.120,0.30,0.3,0.00,0.0438125,0.4704166666666666666666666667,true,true
exp08_development_n16_chain_like_lognormal_04,high,0.120,0.70,0.7,0.00,0.10225,0.201625,true,true
exp08_development_n16_chain_like_lognormal_05,low,0.120,0.30,0.3,0.00,0.04316666666666666666666666667,0.504,true,true
exp08_development_n16_chain_like_lognormal_05,high,0.120,0.70,0.7,0.00,0.1007916666666666666666666667,0.216,true,true
exp08_development_n16_chain_like_lognormal_06,low,0.120,0.30,0.3,0.00,0.04470833333333333333333333333,0.4305,true,true
exp08_development_n16_chain_like_lognormal_06,high,0.120,0.70,0.7,0.00,0.1043333333333333333333333333,0.1845,true,true
exp08_development_n16_chain_like_lognormal_07,low,0.120,0.30,0.3,0.00,0.04366666666666666666666666667,0.476,true,true
exp08_development_n16_chain_like_lognormal_07,high,0.120,0.70,0.7,0.00,0.102,0.204,true,true
exp08_development_n16_chain_like_lognormal_08,low,0.120,0.30,0.3,0.00,0.04883333333333333333333333333,0.3192083333333333333333333333,true,true
exp08_development_n16_chain_like_lognormal_08,high,0.120,0.70,0.7,0.00,0.114,0.1368333333333333333333333333,true,true
exp08_development_n16_chain_like_lognormal_09,low,0.120,0.30,0.3,0.00,0.04627777777777777777777777778,0.378,true,true
exp08_development_n16_chain_like_lognormal_09,high,0.120,0.70,0.7,0.00,0.108,0.162,true,true
exp08_development_n32_wide_layered_homogeneous_00,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n32_wide_layered_homogeneous_00,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
exp08_development_n32_wide_layered_homogeneous_01,low,0.120,0.30,0.3,0.00,0.1033333333333333333333333333,0.192,true,true
exp08_development_n32_wide_layered_homogeneous_01,high,0.120,0.70,0.7,0.00,0.04425,0.448,true,true
