stratum_field,stratum_value,phase_profile,P,n,mean_delta_makespan_normalized,median_delta_makespan_normalized,negative_rate,zero_rate,positive_rate
path_multiplicity,tied,equal_alternating,4,382,-0.001717758146441505888131085092,-0.006,0.7172774869109947643979057592,0.002617801047120418848167539267,0.2801047120418848167539267016
path_multiplicity,tied,equal_alternating,8,382,-0.007642063712156922061211324370,-0.00687500000000000000000000000,0.8376963350785340314136125654,0.002617801047120418848167539267,0.1596858638743455497382198953
path_multiplicity,tied,io,1,382,0,0,0,1,0
path_multiplicity,tied,io,4,382,-0.005799617021588578507267598184,-0.009,0.7329842931937172774869109948,0.005235602094240837696335078534,0.2617801047120418848167539267
path_multiplicity,tied,io,8,382,-0.01586166608751330674723787856,-0.012,0.8534031413612565445026178010,0.002617801047120418848167539267,0.1439790575916230366492146597
path_multiplicity,unique,equal_alternating,1,98,0,0,0,1,0
path_multiplicity,unique,equal_alternating,4,98,0.006714779435347861202682694594,-0.00661674836601307189542483660,0.6632653061224489795918367347,0.04081632653061224489795918367,0.2959183673469387755102040816
path_multiplicity,unique,equal_alternating,8,98,0.0005478306029237641628221731112,-0.00742824074074074074074074074,0.7346938775510204081632653061,0.04081632653061224489795918367,0.2244897959183673469387755102
path_multiplicity,unique,io,1,98,0,0,0,1,0
path_multiplicity,unique,io,4,98,0.004055079524495991171918198567,0,0.4591836734693877551020408163,0.2448979591836734693877551020,0.2959183673469387755102040816
path_multiplicity,unique,io,8,98,-0.002884951253208587302100030726,-0.0008870706819313091090094574415,0.5204081632653061224489795918,0.2551020408163265306122448980,0.2244897959183673469387755102
