experiment_id,scenario_id,schedule_kind,record_type,task_id,phase_id,agent,resource,start,end,duration,request_time,waiting_before
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,2,implementation,3,agent,3.350,6.050,2.700,,0
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,2,review,3,human,6.050,6.800,0.750,6.050,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,3,specification,1,human,6.800,7.800,1.000,6.800,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,3,implementation,1,agent,7.800,12.200,4.400,,0
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,3,review,1,human,12.200,13.200,1.000,12.200,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,4,specification,1,human,13.200,13.950,0.750,13.200,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,4,implementation,1,agent,13.950,16.950,3.000,,0
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,4,review,1,human,16.950,17.700,0.750,16.950,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,5,specification,1,human,3.350,3.850,0.500,3.350,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,5,implementation,1,agent,3.850,5.250,1.400,,0
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,5,review,1,human,5.250,5.750,0.500,5.250,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,6,specification,1,human,17.700,18.450,0.750,17.700,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,6,implementation,1,agent,18.450,20.850,2.400,,0
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,6,review,1,human,20.850,21.600,0.750,20.850,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,7,specification,4,human,7.800,8.300,0.500,7.800,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,7,implementation,4,agent,8.300,10.100,1.800,,0
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,7,review,4,human,10.100,10.600,0.500,10.100,0.000
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,1,specification,1,human,0,1.0,1.0,0,0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,1,implementation,1,agent,1.0,4.2,3.2,,0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,1,review,1,human,4.2,5.2,1.0,4.2,0.0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,2,specification,1,human,5.2,6.7,1.5,5.2,0.0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,2,implementation,1,agent,6.7,12.1,5.4,,0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,2,review,1,human,12.5,14.0,1.5,12.1,0.4
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,3,specification,1,human,14.0,16.0,2.0,14.0,0.0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,3,implementation,1,agent,16.0,24.8,8.8,,0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,3,review,1,human,24.8,26.8,2.0,24.8,0.0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,4,specification,1,human,26.8,28.3,1.5,26.8,0.0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,4,implementation,1,agent,28.3,34.3,6.0,,0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,4,review,1,human,34.3,35.8,1.5,34.3,0.0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,5,specification,2,human,6.7,7.7,1.0,5.2,1.5
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,5,implementation,2,agent,7.7,10.5,2.8,,0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,5,review,2,human,10.5,11.5,1.0,10.5,0.0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,6,specification,1,human,35.8,37.3,1.5,35.8,0.0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,6,implementation,1,agent,37.3,42.1,4.8,,0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,6,review,1,human,42.1,43.6,1.5,42.1,0.0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,7,specification,2,human,11.5,12.5,1.0,11.5,0.0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,7,implementation,2,agent,12.5,16.1,3.6,,0
EXP-06A,exp06a_practical_variant_3_k100,baseline,phase,7,review,2,human,16.1,17.1,1.0,16.1,0.0
EXP-06A,exp06a_practical_variant_3_k100,baseline,wait,2,review,1,human_queue,12.1,12.5,0.4,12.1,0.4
EXP-06A,exp06a_practical_variant_3_k100,baseline,wait,5,specification,2,human_queue,5.2,6.7,1.5,5.2,1.5
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,1,specification,4,human,0.00,1.00,1.00,0.00,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,1,implementation,4,agent,1.00,4.20,3.20,,0
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,1,review,4,human,4.20,5.20,1.00,4.20,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,2,specification,3,human,5.20,6.70,1.50,5.20,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,2,implementation,3,agent,6.70,12.10,5.40,,0
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,2,review,3,human,12.10,13.60,1.50,12.10,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,3,specification,1,human,13.60,15.60,2.00,13.60,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,3,implementation,1,agent,15.60,24.40,8.80,,0
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,3,review,1,human,24.40,26.40,2.00,24.40,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,4,specification,1,human,26.40,27.90,1.50,26.40,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,4,implementation,1,agent,27.90,33.90,6.00,,0
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,4,review,1,human,33.90,35.40,1.50,33.90,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,5,specification,1,human,6.70,7.70,1.00,6.70,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,5,implementation,1,agent,7.70,10.50,2.80,,0
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,5,review,1,human,10.50,11.50,1.00,10.50,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,6,specification,1,human,35.40,36.90,1.50,35.40,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,6,implementation,1,agent,36.90,41.70,4.80,,0
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,6,review,1,human,41.70,43.20,1.50,41.70,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,7,specification,4,human,15.60,16.60,1.00,15.60,0.00
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,7,implementation,4,agent,16.60,20.20,3.60,,0
EXP-06A,exp06a_practical_variant_3_k100,exact,phase,7,review,4,human,20.20,21.20,1.00,20.20,0.00
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,1,specification,1,human,0,2.0,2.0,0,0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,1,implementation,1,agent,2.0,8.4,6.4,,0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,1,review,1,human,8.4,10.4,2.0,8.4,0.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,2,specification,1,human,10.4,13.4,3.0,10.4,0.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,2,implementation,1,agent,13.4,24.2,10.8,,0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,2,review,1,human,25.0,28.0,3.0,24.2,0.8
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,3,specification,1,human,28.0,32.0,4.0,28.0,0.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,3,implementation,1,agent,32.0,49.6,17.6,,0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,3,review,1,human,49.6,53.6,4.0,49.6,0.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,4,specification,1,human,53.6,56.6,3.0,53.6,0.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,4,implementation,1,agent,56.6,68.6,12.0,,0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,4,review,1,human,68.6,71.6,3.0,68.6,0.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,5,specification,2,human,13.4,15.4,2.0,10.4,3.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,5,implementation,2,agent,15.4,21.0,5.6,,0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,5,review,2,human,21.0,23.0,2.0,21.0,0.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,6,specification,1,human,71.6,74.6,3.0,71.6,0.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,6,implementation,1,agent,74.6,84.2,9.6,,0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,6,review,1,human,84.2,87.2,3.0,84.2,0.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,7,specification,2,human,23.0,25.0,2.0,23.0,0.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,7,implementation,2,agent,25.0,32.2,7.2,,0
EXP-06A,exp06a_practical_variant_3_k200,baseline,phase,7,review,2,human,32.2,34.2,2.0,32.2,0.0
EXP-06A,exp06a_practical_variant_3_k200,baseline,wait,2,review,1,human_queue,24.2,25.0,0.8,24.2,0.8
EXP-06A,exp06a_practical_variant_3_k200,baseline,wait,5,specification,2,human_queue,10.4,13.4,3.0,10.4,3.0
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,1,specification,4,human,0.00,2.00,2.00,0.00,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,1,implementation,4,agent,2.00,8.40,6.40,,0
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,1,review,4,human,8.40,10.40,2.00,8.40,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,2,specification,3,human,10.40,13.40,3.00,10.40,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,2,implementation,3,agent,13.40,24.20,10.80,,0
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,2,review,3,human,24.20,27.20,3.00,24.20,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,3,specification,1,human,27.20,31.20,4.00,27.20,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,3,implementation,1,agent,31.20,48.80,17.60,,0
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,3,review,1,human,48.80,52.80,4.00,48.80,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,4,specification,1,human,52.80,55.80,3.00,52.80,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,4,implementation,1,agent,55.80,67.80,12.00,,0
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,4,review,1,human,67.80,70.80,3.00,67.80,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,5,specification,1,human,13.40,15.40,2.00,13.40,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,5,implementation,1,agent,15.40,21.00,5.60,,0
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,5,review,1,human,21.00,23.00,2.00,21.00,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,6,specification,1,human,70.80,73.80,3.00,70.80,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,6,implementation,1,agent,73.80,83.40,9.60,,0
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,6,review,1,human,83.40,86.40,3.00,83.40,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,7,specification,4,human,31.20,33.20,2.00,31.20,0.00
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,7,implementation,4,agent,33.20,40.40,7.20,,0
EXP-06A,exp06a_practical_variant_3_k200,exact,phase,7,review,4,human,40.40,42.40,2.00,40.40,0.00
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,1,specification,1,human,0,4.0,4.0,0,0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,1,implementation,1,agent,4.0,16.8,12.8,,0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,1,review,1,human,16.8,20.8,4.0,16.8,0.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,2,specification,1,human,20.8,26.8,6.0,20.8,0.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,2,implementation,1,agent,26.8,48.4,21.6,,0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,2,review,1,human,50.0,56.0,6.0,48.4,1.6
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,3,specification,1,human,56.0,64.0,8.0,56.0,0.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,3,implementation,1,agent,64.0,99.2,35.2,,0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,3,review,1,human,99.2,107.2,8.0,99.2,0.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,4,specification,1,human,107.2,113.2,6.0,107.2,0.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,4,implementation,1,agent,113.2,137.2,24.0,,0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,4,review,1,human,137.2,143.2,6.0,137.2,0.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,5,specification,2,human,26.8,30.8,4.0,20.8,6.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,5,implementation,2,agent,30.8,42.0,11.2,,0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,5,review,2,human,42.0,46.0,4.0,42.0,0.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,6,specification,1,human,143.2,149.2,6.0,143.2,0.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,6,implementation,1,agent,149.2,168.4,19.2,,0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,6,review,1,human,168.4,174.4,6.0,168.4,0.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,7,specification,2,human,46.0,50.0,4.0,46.0,0.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,7,implementation,2,agent,50.0,64.4,14.4,,0
EXP-06A,exp06a_practical_variant_3_k400,baseline,phase,7,review,2,human,64.4,68.4,4.0,64.4,0.0
EXP-06A,exp06a_practical_variant_3_k400,baseline,wait,2,review,1,human_queue,48.4,50.0,1.6,48.4,1.6
EXP-06A,exp06a_practical_variant_3_k400,baseline,wait,5,specification,2,human_queue,20.8,26.8,6.0,20.8,6.0
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,1,specification,4,human,0.00,4.00,4.00,0.00,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,1,implementation,4,agent,4.00,16.80,12.80,,0
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,1,review,4,human,16.80,20.80,4.00,16.80,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,2,specification,3,human,20.80,26.80,6.00,20.80,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,2,implementation,3,agent,26.80,48.40,21.60,,0
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,2,review,3,human,48.40,54.40,6.00,48.40,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,3,specification,1,human,54.40,62.40,8.00,54.40,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,3,implementation,1,agent,62.40,97.60,35.20,,0
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,3,review,1,human,97.60,105.60,8.00,97.60,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,4,specification,1,human,105.60,111.60,6.00,105.60,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,4,implementation,1,agent,111.60,135.60,24.00,,0
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,4,review,1,human,135.60,141.60,6.00,135.60,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,5,specification,1,human,26.80,30.80,4.00,26.80,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,5,implementation,1,agent,30.80,42.00,11.20,,0
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,5,review,1,human,42.00,46.00,4.00,42.00,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,6,specification,1,human,141.60,147.60,6.00,141.60,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,6,implementation,1,agent,147.60,166.80,19.20,,0
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,6,review,1,human,166.80,172.80,6.00,166.80,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,7,specification,4,human,62.40,66.40,4.00,62.40,0.00
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,7,implementation,4,agent,66.40,80.80,14.40,,0
EXP-06A,exp06a_practical_variant_3_k400,exact,phase,7,review,4,human,80.80,84.80,4.00,80.80,0.00
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,1,specification,1,human,0,0.250,0.250,0,0
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,1,implementation,1,agent,0.250,1.050,0.800,,0
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,1,review,1,human,1.050,1.300,0.250,1.050,0.000
