experiment_id,scenario_id,scenario_sha256,object_id,phase_profile,regime_id,slice_id,policy_id,agent_count,human_share,c_model,C,gamma_model,gamma,W4,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,solver_status,exact_makespan,T_star,solver_best_bound,solver_gap,solver_wall_time_seconds,exact_gap_to_B4,exact_relative_gap_to_B4,exact_queue,exact_blocked_any,exact_max_human_queue,exact_agent_productive_utilization,exact_agent_slot_utilization,exact_human_utilization,baseline_makespan,baseline_gap_to_optimum,baseline_relative_gap,baseline_queue,baseline_blocked_any,baseline_max_human_queue,baseline_agent_productive_utilization,baseline_agent_slot_utilization,baseline_human_utilization,delta_T_star_to_next_P,delta_baseline_to_next_P
EXP-02,exp02_practical_v4_c0_g0_rh50_p12,a7830d056abfc5826aedf1a8e0dfbca5836054d6a2d4151ee4d2e15abb3f65aa,practical_v4,io,c0_g0_rh50,human_share,bottom_level_fcfs_v1,12,0.50,C0,1,gamma0,1,53.60000,36.70000,4.466666666666666666666666667,26.80000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.007762,0.00000,0.000000,13.22500,13.22500,1,0.060854,0.151737,0.730245,38.70000,2.00000,0.054496,14.42500,12.62500,2,0.057709,0.146479,0.692506,,
EXP-02,exp02_practical_v4_c1_g0_rh25_p01,b9abfb63537a7a1102be2dc4013e458c71ea45528cbf3fc8d3b4d31ccf30aa3b,practical_v4,io,c1_g0_rh25,interagent_overhead,bottom_level_fcfs_v1,1,0.25,C1,1.000,gamma0,1,53.60000000,36.70000000,53.60000000,13.40000,53.60000000,work,1->2->3->4->6c,OPTIMAL,53.60000,53.60000,53.600000,0.0,0.001774,0.00000000,0.000000,0,0,0,0.750000,1.000000,0.250000,53.60000000,0.00000000,0.000000,0,0,0,0.750000,1.000000,0.250000,15.24850,15.24850000
EXP-02,exp02_practical_v4_c1_g0_rh25_p02,bfaad61678547e711d82f713906ccccc3bd12ff7913c4b16bd2a7516cc79bcc8,practical_v4,io,c1_g0_rh25,interagent_overhead,bottom_level_fcfs_v1,2,0.25,C1,1.060,gamma0,1,56.01200000,38.35150000,28.00600000,13.40000,38.35150000,critical_path,1->2->3->4->6c,OPTIMAL,38.35150,38.35150,38.351500,0.0,0.004490,0.00000000,0.000000,0.19850,0.19850,1,0.555545,0.732833,0.349400,38.35150000,0.00000000,0.000000,2.1750000,2.1750000,1,0.555545,0.758601,0.349400,-1.92675,-1.92675000
EXP-02,exp02_practical_v4_c1_g0_rh25_p03,a871a22bff70225aaeaf81598e0e67028d35774c61958b492c2e95ca45ea8cad,practical_v4,io,c1_g0_rh25,interagent_overhead,bottom_level_fcfs_v1,3,0.25,C1,1.130,gamma0,1,58.82600000,40.27825000,19.60866666666666666666666667,13.40000,40.27825000,critical_path,1->2->3->4->6c,OPTIMAL,40.27825,40.27825,40.278250,0.0,0.004528,0.00000000,0.000000,0,0,0,0.375935,0.486830,0.332686,40.27825000,0.00000000,0.000000,3.7750000,3.7750000,1,0.375935,0.518071,0.332686,-2.20200,-2.20200000
EXP-02,exp02_practical_v4_c1_g0_rh25_p04,d2b5f9a0f7b2caf91308c51b4244f2602f085c251317bb5f394a1a4aebf92b22,practical_v4,io,c1_g0_rh25,interagent_overhead,bottom_level_fcfs_v1,4,0.25,C1,1.210,gamma0,1,62.04200000,42.48025000,15.51050000,13.40000,42.48025000,critical_path,1->2->3->4->6c,OPTIMAL,42.48025,42.48025,42.480250,0.0,0.004831,0.00000000,0.000000,0,0,0,0.286262,0.365123,0.315441,42.48025000,0.00000000,0.000000,3.7750000,3.7750000,1,0.286262,0.387339,0.315441,-5.22975,-5.22975000
EXP-02,exp02_practical_v4_c1_g0_rh25_p06,bdf576fdd364324c11b91e75d248ea90ea98887ac737b371ebecf601479ec0a6,practical_v4,io,c1_g0_rh25,interagent_overhead,bottom_level_fcfs_v1,6,0.25,C1,1.400,gamma0,1,69.68000000,47.71000000,11.61333333333333333333333333,13.40000,47.71000000,critical_path,1->2->3->4->6c,OPTIMAL,47.71000,47.71000,47.710000,0.0,0.003331,0.00000000,0.000000,0,0,0,0.196604,0.243415,0.280864,47.71000000,0.00000000,0.000000,3.7750000,3.7750000,1,0.196604,0.256602,0.280864,-6.33075,-6.33075000
EXP-02,exp02_practical_v4_c1_g0_rh25_p08,d34c0a231683808cde9c9b033ed3c441070e087b19792b1f0b1ebefbea1f580a,practical_v4,io,c1_g0_rh25,interagent_overhead,bottom_level_fcfs_v1,8,0.25,C1,1.630,gamma0,1,78.92600000,54.04075000,9.86575000,13.40000,54.04075000,critical_path,1->2->3->4->6c,OPTIMAL,54.04075,54.04075,54.040750,0.0,0.003665,0.00000000,0.000000,0,0,0,0.151566,0.182561,0.247961,54.04075000,0.00000000,0.000000,3.7750000,3.7750000,1,0.151566,0.191293,0.247961,-15.96450,-15.96450000
EXP-02,exp02_practical_v4_c1_g0_rh25_p12,9bf4900bd0b648d8e76739f9d7263c08a94bde61ea9beafa6b00f660a9961bd8,practical_v4,io,c1_g0_rh25,interagent_overhead,bottom_level_fcfs_v1,12,0.25,C1,2.210,gamma0,1,102.24200000,70.00525000,8.520166666666666666666666667,13.40000,70.00525000,critical_path,1->2->3->4->6c,OPTIMAL,70.00525,70.00525,70.005250,0.0,0.004050,0.00000000,0.000000,0,0,0,0.105756,0.121708,0.191414,70.00525000,0.00000000,0.000000,3.7750000,3.7750000,1,0.105756,0.126201,0.191414,,
EXP-02,exp02_practical_v4_c0_g1_rh25_p01,9b624f72733bd14a7689f3a8fca74a1360c4dbf512e0a1a088e3e7b6c6ab8e0a,practical_v4,io,c0_g1_rh25,human_switching,bottom_level_fcfs_v1,1,0.25,C0,1,gamma1,1.00,53.6000000,36.7000000,53.6000000,13.4000000,53.6000000,work,1->2->3->4->6c,OPTIMAL,53.60000,53.60000,53.600000,0.0,0.001742,0.0000000,0.000000,0,0,0,0.750000,1.000000,0.250000,53.6000000,0.0000000,0.000000,0,0,0,0.750000,1.000000,0.250000,15.98250,15.9825000
EXP-02,exp02_practical_v4_c0_g1_rh25_p02,a332c1be1e79f7b9b13d2782099bfebdacdf81726946e5c834630f93532213e2,practical_v4,io,c0_g1_rh25,human_switching,bottom_level_fcfs_v1,2,0.25,C0,1,gamma1,1.10,54.9400000,37.6175000,27.4700000,14.7400000,37.6175000,critical_path,1->2->3->4->6c,OPTIMAL,37.61750,37.61750,37.617500,0.0,0.004814,0.0000000,0.000000,0.53125,0.53125,1,0.534326,0.737306,0.391839,37.6175000,0.0000000,0.000000,2.392500,2.392500,1,0.534326,0.762046,0.391839,-0.91750,-0.9175000
EXP-02,exp02_practical_v4_c0_g1_rh25_p03,fc09d37cf7ddb2258baf6f20698e0f8486f9910e9699229c8e6ea51406256f12,practical_v4,io,c0_g1_rh25,human_switching,bottom_level_fcfs_v1,3,0.25,C0,1,gamma1,1.20,56.2800000,38.5350000,18.7600000,16.0800000,38.5350000,critical_path,1->2->3->4->6c,OPTIMAL,38.53500,38.53500,38.535000,0.0,0.004582,0.0000000,0.000000,0,0,0,0.347736,0.486830,0.417283,38.5350000,0.0000000,0.000000,4.530000,4.530000,1,0.347736,0.526015,0.417283,-0.91750,-0.9175000
EXP-02,exp02_practical_v4_c0_g1_rh25_p04,5f8e072016502ded2ce137f8dcd3ec8b4d4c216e21c13fca34b09e58844223d0,practical_v4,io,c0_g1_rh25,human_switching,bottom_level_fcfs_v1,4,0.25,C0,1,gamma1,1.30,57.6200000,39.4525000,14.4050000,17.4200000,39.4525000,critical_path,1->2->3->4->6c,OPTIMAL,39.45250,39.45250,39.452500,0.0,0.004981,0.0000000,0.000000,0.10875,0.10875,1,0.254737,0.365812,0.441544,39.4525000,0.0000000,0.000000,5.0162500,5.0162500,1,0.254737,0.396909,0.441544,-1.83500,-1.9850000
EXP-02,exp02_practical_v4_c0_g1_rh25_p06,70525bcec487889fc6d3cbea88f38c7a99fa1c1e6de12a09a7605620e9478f67,practical_v4,io,c0_g1_rh25,human_switching,bottom_level_fcfs_v1,6,0.25,C0,1,gamma1,1.50,60.3000000,41.2875000,10.0500000,20.1000000,41.2875000,critical_path,1->2->3->4->6c,OPTIMAL,41.28750,41.28750,41.287500,0.0,0.003329,0.0000000,0.000000,1.59375,1.59375,1,0.162277,0.249849,0.486830,41.4375000,0.1500000,0.003633,6.3187500,6.3187500,1,0.161689,0.267949,0.485068,-1.83500,-2.2150000
