experiment_id,scenario_id,schedule_kind,record_type,task_id,phase_id,agent,resource,start,end,duration,request_time,waiting_before
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t03,human_2,1,human,11.625,12.750,1.125,11.625,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t03,agent_2,1,agent,12.750,17.250,4.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t03,human_3,1,human,17.250,18.375,1.125,17.250,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t03,agent_3,1,agent,18.375,22.875,4.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t03,human_4,1,human,22.875,24.000,1.125,22.875,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t04,human_1,1,human,24.000,25.500,1.500,24.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t04,agent_1,1,agent,25.500,31.500,6.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t04,human_2,1,human,31.500,33.000,1.500,31.500,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t04,agent_2,1,agent,33.000,39.000,6.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t04,human_3,1,human,39.000,40.500,1.500,39.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t04,agent_3,1,agent,40.500,46.500,6.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t04,human_4,1,human,46.500,48.000,1.500,46.500,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,wait,t02,human_1,2,human_queue,6.000,7.125,1.125,6.000,1.125
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,exact,phase,t01,human_1,2,human,0.000,0.375,0.375,0.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,exact,phase,t01,agent_1,2,agent,0.375,1.875,1.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,exact,phase,t01,human_2,2,human,1.875,2.250,0.375,1.875,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,exact,phase,t01,agent_2,2,agent,2.250,3.750,1.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,exact,phase,t01,human_3,2,human,3.750,4.125,0.375,3.750,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,exact,phase,t01,agent_3,2,agent,4.125,5.625,1.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,exact,phase,t01,human_4,2,human,5.625,6.000,0.375,5.625,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,exact,phase,t02,human_1,1,human,7.125,7.875,0.750,7.125,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,exact,phase,t02,agent_1,1,agent,7.875,10.875,3.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,exact,phase,t02,human_2,1,human,10.875,11.625,0.750,10.875,0.000
