experiment_id,scenario_id,scenario_sha256,topology,task_count,agent_count,human_share,phase_profile,time_unit,T_h,A,H,W4,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,baseline_makespan,baseline_queue,baseline_blocked_any,baseline_gap_to_optimum,baseline_relative_gap,solver_status,solver_objective,solver_best_bound,solver_gap,solver_wall_time_seconds,exact_queue,exact_blocked_any,tightness_gap,tightness_relative_gap
EXP-01,exp01_independent_n4_p2_rh50_alternating_sync,165a577b5fe4ab6336346857f34a7904293295089a0910f986c284d7f8419e9f,independent,4,2,0.50,alternating_sync,0.025,60,30.00,30.00,60.00,24.00,30.00,30.00,30.00,"work,human",t04,39.25,13.50,13.50,3.750,0.1056338028169014084507042254,OPTIMAL,35.500,35.5000,0.0,0.077543,6.450,6.450,5.500,0.1833333333333333333333333333
EXP-01,exp01_independent_n4_p2_rh50_alternating_staggered,42af96d8e83895795d1aaaa6a287327b36ba8ba9737b9933af259ddfe9b51223,independent,4,2,0.50,alternating_staggered,0.025,60,30.00,30.00,60.00,24.00,30.00,30.00,30.00,"work,human",t04,37.75,11.50,11.50,3.250,0.09420289855072463768115942029,OPTIMAL,34.500,34.5000,0.0,0.011460,5.475,5.475,4.500,0.15
EXP-01,exp01_independent_n4_p4_rh10_io,f16991dd496a2db23ff1d26e669ab401419e370d431c21dc26413a3a40c01bd4,independent,4,4,0.10,io,0.025,60,54.00,6.00,60.00,24.00,15.00,6.00,24.00,critical_path,t04,24.00,6.00,2.70,0.000,0,OPTIMAL,24.000,24.0000,0.0,0.001744,0,0,0.000,0.0
EXP-01,exp01_independent_n4_p4_rh10_alternating_sync,0af6d4e464906cf46f06d7a4d4f9aa6c5516348ce08af4bad2dddbdfdbe256de,independent,4,4,0.10,alternating_sync,0.025,60,54.00,6.00,60.00,24.00,15.00,6.00,24.00,critical_path,t04,24.00,3.00,1.35,0.000,0,OPTIMAL,24.000,24.0000,0.0,0.002351,0,0,0.000,0.0
EXP-01,exp01_independent_n4_p4_rh10_alternating_staggered,fd43d2fc74cbb6bf017c0290125bf3ee7b445c40bfcd18025546d1926bf73fd5,independent,4,4,0.10,alternating_staggered,0.025,60,54.00,6.00,60.00,24.00,15.00,6.00,24.00,critical_path,t04,24.00,4.05,2.40,0.000,0,OPTIMAL,24.000,24.0000,0.0,0.002631,0.750,0.750,0.000,0.0
EXP-01,exp01_independent_n4_p4_rh25_io,effd03821889766d725f693ca8ecb2956531bc5e34187b3c8f0f045b51f96e57,independent,4,4,0.25,io,0.025,60,45.00,15.00,60.00,24.00,15.00,15.00,24.00,critical_path,t04,24.00,15.00,6.75,0.000,0,OPTIMAL,24.000,24.0000,0.0,0.002048,5.275,5.275,0.000,0.0
EXP-01,exp01_independent_n4_p4_rh25_alternating_sync,56fdee261f64086b045561cb909e5e9b43f0f15e106125943b537d2ffb3a12f6,independent,4,4,0.25,alternating_sync,0.025,60,45.00,15.00,60.00,24.00,15.00,15.00,24.00,critical_path,t04,25.125,10.500,5.625,0.375,0.01515151515151515151515151515,OPTIMAL,24.750,24.7500,0.0,0.002204,2.250,2.250,0.750,0.03125
EXP-01,exp01_independent_n4_p4_rh25_alternating_staggered,f03008e116e2f71f069770627ac6c3374e406ecba56a59b1513290d08f7bda91,independent,4,4,0.25,alternating_staggered,0.025,60,45.00,15.00,60.00,24.00,15.00,15.00,24.00,critical_path,t04,24.375,11.625,7.500,0.375,0.015625,OPTIMAL,24.000,24.0000,0.0,0.003653,2.625,2.625,0.000,0.0
EXP-01,exp01_independent_n4_p4_rh50_io,20e188d57f5a6cd3f28ca8ece8076d98c21031572dc93a50b65f976e6899f3cb,independent,4,4,0.50,io,0.025,60,30.00,30.00,60.00,24.00,15.00,30.00,30.00,human,t04,33.00,52.50,25.50,3.000,0.1,OPTIMAL,30.000,30.0000,0.0,0.002010,6.000,6.000,0.000,0.0
EXP-01,exp01_independent_n4_p4_rh50_alternating_sync,26579c08767fac0419933eacf32632987c52420fe1478ba513e215de8b988fed,independent,4,4,0.50,alternating_sync,0.025,60,30.00,30.00,60.00,24.00,15.00,30.00,30.00,human,t04,30.00,48.00,25.75,0.000,0,OPTIMAL,30.000,30.0000,0.0,0.025531,23.150,17.700,0.000,0.0
EXP-01,exp01_independent_n4_p4_rh50_alternating_staggered,e06b5bd10a2edaae6d9dfda750e2751bb33be9335ba8a5490b6da90131defe78,independent,4,4,0.50,alternating_staggered,0.025,60,30.00,30.00,60.00,24.00,15.00,30.00,30.00,human,t04,30.00,45.75,25.00,0.000,0,OPTIMAL,30.000,30.0000,0.0,0.009244,22.500,16.000,0.000,0.0
EXP-01,exp01_fork_join_n4_p2_rh10_io,6599fdaf52c71ea1c4c87ed59532984926edf0d8ad7e704e54e804a0442fd77c,fork_join,4,2,0.10,io,0.025,60,54.00,6.00,60.00,48.00,30.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.90,0.90,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.001157,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p2_rh10_alternating_sync,a1ce9b173690ebcad2c6ef8ad762b25363bd8346aabdb53882b4d90c8d0423ab,fork_join,4,2,0.10,alternating_sync,0.025,60,54.00,6.00,60.00,48.00,30.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.45,0.45,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.002949,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p2_rh10_alternating_staggered,1cdc3bc1b2f933cfbf3d6c1a7719f4f6a8e27bcc60dd2e6609c2267bcd39be1e,fork_join,4,2,0.10,alternating_staggered,0.025,60,54.00,6.00,60.00,48.00,30.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.45,0.45,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.002801,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p2_rh25_io,0bfdfc0e8c614a78d094d43207b55eaa63cc8f138565a10e1a9cb0313fa24e50,fork_join,4,2,0.25,io,0.025,60,45.00,15.00,60.00,48.00,30.00,15.00,48.00,critical_path,t01->t03->t04,48.00,2.25,2.25,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.001133,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p2_rh25_alternating_sync,f851306cfffb34eb73d853ad4843d88190291531ae57552fef7e0e3824825904,fork_join,4,2,0.25,alternating_sync,0.025,60,45.00,15.00,60.00,48.00,30.00,15.00,48.00,critical_path,t01->t03->t04,48.000,1.125,1.125,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.002788,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p2_rh25_alternating_staggered,bac8c3a8f78f03459c09b89fad72323cfcd0f43aae29b673b58986a21530b85c,fork_join,4,2,0.25,alternating_staggered,0.025,60,45.00,15.00,60.00,48.00,30.00,15.00,48.00,critical_path,t01->t03->t04,48.000,1.125,1.125,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.003347,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p2_rh50_io,63e4d689498646411f95237d43f78d0121a27099d8104eb0b2fabd3f1b8ab37f,fork_join,4,2,0.50,io,0.025,60,30.00,30.00,60.00,48.00,30.00,30.00,48.00,critical_path,t01->t03->t04,51.00,9.00,9.00,0.000,0,OPTIMAL,51.000,51.0000,0.0,0.001245,4.500,4.500,3.000,0.0625
EXP-01,exp01_fork_join_n4_p2_rh50_alternating_sync,715a80fc3a29ba7d66614169e6a3fe61bafbe09fd05275f0d358f6f662580510,fork_join,4,2,0.50,alternating_sync,0.025,60,30.00,30.00,60.00,48.00,30.00,30.00,48.00,critical_path,t01->t03->t04,49.50,7.50,7.50,0.000,0,OPTIMAL,49.500,49.5000,0.0,0.004287,3.750,3.750,1.500,0.03125
EXP-01,exp01_fork_join_n4_p2_rh50_alternating_staggered,29c5dc6f1578aa7fc5596ca1a37e2172a5d6797855d38f70916be3d884bec7c1,fork_join,4,2,0.50,alternating_staggered,0.025,60,30.00,30.00,60.00,48.00,30.00,30.00,48.00,critical_path,t01->t03->t04,49.25,4.75,4.75,0.000,0,OPTIMAL,49.250,49.2500,0.0,0.003720,2.500,2.500,1.250,0.02604166666666666666666666667
EXP-01,exp01_fork_join_n4_p4_rh10_io,37071429822480e60790530ac3a1f24b810e149739d45bbea7798bde4b58c41e,fork_join,4,4,0.10,io,0.025,60,54.00,6.00,60.00,48.00,15.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.90,0.90,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.001597,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p4_rh10_alternating_sync,4bb33bab475f7d59beaf07ba616e9f34d2e8b209e2c8b3e945adc693934fd6e1,fork_join,4,4,0.10,alternating_sync,0.025,60,54.00,6.00,60.00,48.00,15.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.45,0.45,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.002803,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p4_rh10_alternating_staggered,3b46d34487402f79f4ef1458f2658112926619e6a44b9420deeb6845c75e8c72,fork_join,4,4,0.10,alternating_staggered,0.025,60,54.00,6.00,60.00,48.00,15.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.45,0.45,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.003155,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p4_rh25_io,02f4d3a1dd966b3a03a8bf93d625c5205c8491ae474f6c1f269077ea2274dd56,fork_join,4,4,0.25,io,0.025,60,45.00,15.00,60.00,48.00,15.00,15.00,48.00,critical_path,t01->t03->t04,48.00,2.25,2.25,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.001731,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p4_rh25_alternating_sync,776d398fbe35704f2b1e821d131d1f0565a8370204d719133194b9d8c387f036,fork_join,4,4,0.25,alternating_sync,0.025,60,45.00,15.00,60.00,48.00,15.00,15.00,48.00,critical_path,t01->t03->t04,48.000,1.125,1.125,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.003129,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p4_rh25_alternating_staggered,8dfacbbf2ea309543d268d68f5dbcecb16aa6261744a4c0911915c3a77f489ca,fork_join,4,4,0.25,alternating_staggered,0.025,60,45.00,15.00,60.00,48.00,15.00,15.00,48.00,critical_path,t01->t03->t04,48.000,1.125,1.125,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.002926,0,0,0.000,0.0
EXP-01,exp01_fork_join_n4_p4_rh50_io,faef7342b8e43f974ed24dbf4f018c726af8ce2dc6124b6dbe11dd40975407ba,fork_join,4,4,0.50,io,0.025,60,30.00,30.00,60.00,48.00,15.00,30.00,48.00,critical_path,t01->t03->t04,51.00,9.00,9.00,0.000,0,OPTIMAL,51.000,51.0000,0.0,0.001577,0,0,3.000,0.0625
EXP-01,exp01_fork_join_n4_p4_rh50_alternating_sync,84313032dbb85b070a6807981463b2996347cf6d53df5dbb32d4016777bc5093,fork_join,4,4,0.50,alternating_sync,0.025,60,30.00,30.00,60.00,48.00,15.00,30.00,48.00,critical_path,t01->t03->t04,49.50,7.50,7.50,0.000,0,OPTIMAL,49.500,49.5000,0.0,0.004065,3.750,3.750,1.500,0.03125
EXP-01,exp01_fork_join_n4_p4_rh50_alternating_staggered,899fb15e6fc2d884ed06be1b1d4b5865bad6a921955550bee6116617807136a8,fork_join,4,4,0.50,alternating_staggered,0.025,60,30.00,30.00,60.00,48.00,15.00,30.00,48.00,critical_path,t01->t03->t04,49.25,4.75,4.75,0.000,0,OPTIMAL,49.250,49.2500,0.0,0.004175,2.000,2.000,1.250,0.02604166666666666666666666667
EXP-01,exp01_diamond_n4_p2_rh10_io,4a3ee5261b10923487f2663710b680efdc7c351c5eb8125e90dc126a3192d29c,diamond,4,2,0.10,io,0.025,60,54.00,6.00,60.00,48.00,30.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.90,0.90,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.001199,0,0,0.000,0.0
EXP-01,exp01_diamond_n4_p2_rh10_alternating_sync,21bd0ba9bec6427a4c47199df79a014e9221ecbcfe36134a869815dae9d8ffad,diamond,4,2,0.10,alternating_sync,0.025,60,54.00,6.00,60.00,48.00,30.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.45,0.45,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.002977,0,0,0.000,0.0
EXP-01,exp01_diamond_n4_p2_rh10_alternating_staggered,2612c01e6e3765d96e980b6530d455c2b3d1f4f0a5c1992fd558556f65d17fb4,diamond,4,2,0.10,alternating_staggered,0.025,60,54.00,6.00,60.00,48.00,30.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.45,0.45,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.002980,0,0,0.000,0.0
EXP-01,exp01_diamond_n4_p2_rh25_io,a153a5f91370addef7dc434df1ec3191bb3a051f7f9cef6367e9e1e427e40e40,diamond,4,2,0.25,io,0.025,60,45.00,15.00,60.00,48.00,30.00,15.00,48.00,critical_path,t01->t03->t04,48.00,2.25,2.25,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.001265,0,0,0.000,0.0
EXP-01,exp01_diamond_n4_p2_rh25_alternating_sync,f586446537a747ef459f7010117b0088b156f5f7e0e6616826c359421573ec3b,diamond,4,2,0.25,alternating_sync,0.025,60,45.00,15.00,60.00,48.00,30.00,15.00,48.00,critical_path,t01->t03->t04,48.000,1.125,1.125,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.002919,0,0,0.000,0.0
EXP-01,exp01_diamond_n4_p2_rh25_alternating_staggered,f216f844a8500d171d90b8e286deb00a499d5b488d190dc7c75f798d150c2269,diamond,4,2,0.25,alternating_staggered,0.025,60,45.00,15.00,60.00,48.00,30.00,15.00,48.00,critical_path,t01->t03->t04,48.000,1.125,1.125,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.002782,0,0,0.000,0.0
EXP-01,exp01_diamond_n4_p2_rh50_io,b07598c886199b5d1b5fb54aba3658fe248e3575f90e9944a24646394772cf8e,diamond,4,2,0.50,io,0.025,60,30.00,30.00,60.00,48.00,30.00,30.00,48.00,critical_path,t01->t03->t04,51.00,9.00,9.00,0.000,0,OPTIMAL,51.000,51.0000,0.0,0.001261,4.500,4.500,3.000,0.0625
EXP-01,exp01_diamond_n4_p2_rh50_alternating_sync,885543a8a7e77533e05cbdd05bda6bda11788da64b1e8913c74bd4e92917a372,diamond,4,2,0.50,alternating_sync,0.025,60,30.00,30.00,60.00,48.00,30.00,30.00,48.00,critical_path,t01->t03->t04,49.50,7.50,7.50,0.000,0,OPTIMAL,49.500,49.5000,0.0,0.004262,3.750,3.750,1.500,0.03125
EXP-01,exp01_diamond_n4_p2_rh50_alternating_staggered,371f9817cc1445fb166412d356d7e8d3e804c1fa09cb62ebac5bc70b4d55e3d6,diamond,4,2,0.50,alternating_staggered,0.025,60,30.00,30.00,60.00,48.00,30.00,30.00,48.00,critical_path,t01->t03->t04,49.25,4.75,4.75,0.000,0,OPTIMAL,49.250,49.2500,0.0,0.003766,2.500,2.500,1.250,0.02604166666666666666666666667
EXP-01,exp01_diamond_n4_p4_rh10_io,02e0f2393288f5a42f1ccb942557d56310b35a392a62b22e61084043d0293e3e,diamond,4,4,0.10,io,0.025,60,54.00,6.00,60.00,48.00,15.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.90,0.90,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.001574,0,0,0.000,0.0
EXP-01,exp01_diamond_n4_p4_rh10_alternating_sync,2d037bd9da0451b285063133c68825c23d9a7d3735ac5d5c1c325b7d7c12e047,diamond,4,4,0.10,alternating_sync,0.025,60,54.00,6.00,60.00,48.00,15.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.45,0.45,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.002918,0,0,0.000,0.0
EXP-01,exp01_diamond_n4_p4_rh10_alternating_staggered,d1477ed908972f78d21abf0ab2b3c948d98b646a6b37a8527bb8ea462290c126,diamond,4,4,0.10,alternating_staggered,0.025,60,54.00,6.00,60.00,48.00,15.00,6.00,48.00,critical_path,t01->t03->t04,48.00,0.45,0.45,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.003102,0,0,0.000,0.0
EXP-01,exp01_diamond_n4_p4_rh25_io,7245a0d1ded32f1d812afc49f9b7687d5e4a8aa959c74cd85a3ae6659b32270e,diamond,4,4,0.25,io,0.025,60,45.00,15.00,60.00,48.00,15.00,15.00,48.00,critical_path,t01->t03->t04,48.00,2.25,2.25,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.001605,0,0,0.000,0.0
EXP-01,exp01_diamond_n4_p4_rh25_alternating_sync,5b06a848756fb86f16e92e97ddafa58e3714e9a0a8b6966e85633736f85b8c4d,diamond,4,4,0.25,alternating_sync,0.025,60,45.00,15.00,60.00,48.00,15.00,15.00,48.00,critical_path,t01->t03->t04,48.000,1.125,1.125,0.000,0,OPTIMAL,48.000,48.0000,0.0,0.002817,0,0,0.000,0.0
