experiment_id,scenario_id,scenario_sha256,topology,task_count,agent_count,human_share,phase_profile,policy_id,human_request_count,A,H,W4,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,solver_status,T_star,solver_best_bound,solver_gap,solver_wall_time_seconds,exact_gap_to_B4,exact_relative_gap_to_B4,baseline_gap_to_optimum,baseline_relative_gap,exact_makespan,exact_queue,exact_blocked_any,exact_blocked_agent_time,exact_full_agent_stop,exact_maximum_queue_length,exact_mean_queue_length,baseline_makespan,baseline_queue,baseline_blocked_any,baseline_blocked_agent_time,baseline_full_agent_stop,baseline_maximum_queue_length,baseline_mean_queue_length
EXP-03,exp03_two_layer_n4_p2_rh50_front_loaded,9719196acc1224c08e8688f1d6cccf9ca84518ed145a143a5d4a2a2aa1a2ea32,two_layer,4,2,0.50,front_loaded,bottom_level_fcfs_v1,8,30.00,30.00,60.00,36.00,30.00,30.00,36.00,critical_path,t02->t04,OPTIMAL,40.800,40.8000,0.0,0.001429,4.800,0.133333,0.0000,0.000000,40.800,0,0,0,0,0,0.000000,40.8000,16.2000,16.2000,16.2000,16.2000,1,0.397059
EXP-03,exp03_two_layer_n4_p2_rh50_alternating_sync,9d6d24ed114412f4cdc0c364317f0d5fb4b38cac3e4eb6a8d8eff95d1157b098,two_layer,4,2,0.50,alternating_sync,bottom_level_fcfs_v1,16,30.00,30.00,60.00,36.00,30.00,30.00,36.00,critical_path,t02->t04,OPTIMAL,38.750,38.7500,0.0,0.021347,2.750,0.076389,0.500,0.012903,38.750,6.250,6.250,6.250,6.000,1,0.161290,39.25,11.25,11.25,11.25,11.25,1,0.286624
EXP-03,exp03_two_layer_n4_p2_rh50_alternating_staggered,0352f585676f4b326fb3b5a54db5a59e0397efc6a599f7edb00140dc15ebb4ba,two_layer,4,2,0.50,alternating_staggered,bottom_level_fcfs_v1,16,30.00,30.00,60.00,36.00,30.00,30.00,36.00,critical_path,t02->t04,OPTIMAL,37.750,37.7500,0.0,0.003750,1.750,0.048611,0.000,0.000000,37.750,4.000,4.000,4.000,4.000,1,0.105960,37.75,8.50,8.50,8.50,8.50,1,0.225166
EXP-03,exp03_two_layer_n4_p4_rh25_io,42897e1316451327ffcb7500087762e683f826b4af25cfa52e01bcdf647ea480,two_layer,4,4,0.25,io,bottom_level_fcfs_v1,8,45.00,15.00,60.00,36.00,15.00,15.00,36.00,critical_path,t02->t04,OPTIMAL,36.000,36.0000,0.0,0.001412,0.000,0.000000,0.000,0.000000,36.000,0,0,0,0,0,0.000000,36.00,4.50,4.50,4.50,0,1,0.125000
EXP-03,exp03_two_layer_n4_p4_rh25_front_loaded,a3cc6d84bb5b52c2e2d351fc1a8bbd7a6f095c07decfa42f96950db0b70ad8d0,two_layer,4,4,0.25,front_loaded,bottom_level_fcfs_v1,8,45.00,15.00,60.00,36.00,15.00,15.00,36.00,critical_path,t02->t04,OPTIMAL,36.000,36.0000,0.0,0.001310,0.000,0.000000,0.0000,0.000000,36.000,0,0,0,0,0,0.000000,36.0000,8.1000,8.1000,8.1000,0,1,0.225000
EXP-03,exp03_two_layer_n4_p4_rh25_alternating_sync,fe6e359d748f710a16527299a728c593372608be9fd341c9f57dd3a60eb90036,two_layer,4,4,0.25,alternating_sync,bottom_level_fcfs_v1,16,45.00,15.00,60.00,36.00,15.00,15.00,36.00,critical_path,t02->t04,OPTIMAL,36.750,36.7500,0.0,0.002430,0.750,0.020833,0.000,0.000000,36.750,0.750,0.750,0.750,0,1,0.020408,36.750,3.000,3.000,3.000,0,1,0.081633
EXP-03,exp03_two_layer_n4_p4_rh25_alternating_staggered,de36a3109b59b8a289a9312a20bb5fbd1282c653a988cb1201cda9dfd0a3dbb5,two_layer,4,4,0.25,alternating_staggered,bottom_level_fcfs_v1,16,45.00,15.00,60.00,36.00,15.00,15.00,36.00,critical_path,t02->t04,OPTIMAL,36.000,36.0000,0.0,0.001931,0.000,0.000000,0.000,0.000000,36.000,1.500,1.500,1.500,0,1,0.041667,36.00,3.750,3.750,3.750,0,1,0.104167
EXP-03,exp03_two_layer_n4_p4_rh50_io,f5d6d1578fa75bab54e002dacbb7ade5cd9fecbd069aa413ce813f651e4a8448,two_layer,4,4,0.50,io,bottom_level_fcfs_v1,8,30.00,30.00,60.00,36.00,15.00,30.00,36.00,critical_path,t02->t04,OPTIMAL,40.500,40.5000,0.0,0.001416,4.500,0.125000,0.000,0.000000,40.500,4.500,4.500,4.500,0,1,0.111111,40.50,13.50,13.50,13.50,0,1,0.333333
EXP-03,exp03_two_layer_n4_p4_rh50_front_loaded,8e3c8a03d3c99f3747b7099e851deca8be4493a2938aa05321ec6c0c02a3e735,two_layer,4,4,0.50,front_loaded,bottom_level_fcfs_v1,8,30.00,30.00,60.00,36.00,15.00,30.00,36.00,critical_path,t02->t04,OPTIMAL,40.800,40.8000,0.0,0.001388,4.800,0.133333,0.0000,0.000000,40.800,0,0,0,0,0,0.000000,40.8000,16.2000,16.2000,16.2000,0,1,0.397059
EXP-03,exp03_two_layer_n4_p4_rh50_alternating_sync,23cb703bbe62cad3c7f7b1754ac8fee75eed8158c38478e68539236c4a598fee,two_layer,4,4,0.50,alternating_sync,bottom_level_fcfs_v1,16,30.00,30.00,60.00,36.00,15.00,30.00,36.00,critical_path,t02->t04,OPTIMAL,38.750,38.7500,0.0,0.007529,2.750,0.076389,0.500,0.012903,38.750,8.000,8.000,8.000,0,1,0.206452,39.25,11.25,11.25,11.25,0,1,0.286624
EXP-03,exp03_two_layer_n4_p4_rh50_alternating_staggered,43d32c4f7542919d97a0abd9d90909af73cf8bfcc14d1aaa45538cc912866b96,two_layer,4,4,0.50,alternating_staggered,bottom_level_fcfs_v1,16,30.00,30.00,60.00,36.00,15.00,30.00,36.00,critical_path,t02->t04,OPTIMAL,37.750,37.7500,0.0,0.002447,1.750,0.048611,0.000,0.000000,37.750,4.000,4.000,4.000,0,1,0.105960,37.75,8.50,8.50,8.50,0,1,0.225166
